Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
37852,20110914:2359,3.8,24,D
37852,20110915:2359,4.7,24,D
37852,20110916:2359,6.5,24,D
37852,20110917:2359,5.9,24,D
37852,20110918:2359,4.8,24,D
37852,20110919:2359,3.2,24,D
37852,20110920:2359,9.1,24,D
37852,20110921:2359,1.2,24,D
37852,20110922:2359,3.4,24,D
37852,20110923:2359,9.6,24,D
37852,20110924:2359,7.5,24,D
37852,20110925:2259,0.6,24,D
37852,20110926:2259,7.5,24,D
37852,20110927:2259,7.2,24,D
37852,20110928:2259,8.5,24,D
37852,20110929:2259,9.2,24,D
37852,20110930:2259,9.7,24,D
37852,20111001:2259,0.7,24,D
37852,20111002:2259,0.0,24,D
37852,20111003:2259,0.5,24,D
37852,20111004:2259,7.1,24,D
37852,20111005:2259,6.2,24,D
37852,20111006:2259,8.7,24,D
37852,20111007:2259,8.7,24,D
37852,20111008:2259,7.7,24,D
37852,20111009:2259,8.7,24,D
37852,20111010:2259,3.6,24,D
37852,20111011:2259,2.5,24,D
37852,20111012:2259,0.0,24,D
37852,20111013:2259,3.3,24,D
37852,20111014:2259,8.8,24,D
37852,20111015:2259,7.3,24,D
37852,20111016:2259,10.9,24,D
37852,20111017:2259,3.9,24,D
37852,20111018:2259,6.8,24,D
37852,20111019:2259,3.9,24,D
37852,20111020:2259,11.1,24,D
37852,20111021:2259,11.0,24,D
37852,20111022:2259,5.1,24,D
37852,20111023:2259,1.2,24,D
37852,20111024:2259,9.7,24,D
37852,20111025:2259,9.5,24,D
37852,20111026:2259,2.4,24,D
37852,20111027:2259,7.6,24,D
37852,20111028:2259,7.0,24,D
37852,20111029:2259,7.0,24,D
37852,20111030:2259,11.4,24,D
37852,20111031:2259,7.8,24,D
37852,20111101:2259,1.2,24,D
37852,20111102:2259,7.7,24,D
37852,20111103:2259,9.6,24,D
37852,20111104:2259,8.9,24,D
37852,20111105:2259,7.1,24,D
37852,20111106:2259,6.0,24,D
37852,20111107:2259,6.3,24,D
37852,20111108:2259,4.8,24,D
37852,20111109:2259,0.7,24,D
37852,20111110:2259,8.9,24,D
37852,20111111:2259,12.5,24,D
37852,20111112:2259,4.1,24,D
37852,20111113:2259,7.7,24,D
37852,20111114:2259,7.5,24,D
