Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
4843,20110827:2359,10.4,24,D
4843,20110828:2359,2.8,24,D
4843,20110829:2359,0.2,24,D
4843,20110830:2359,3.2,24,D
4843,20110831:2359,9.3,24,D
4843,20110901:2359,5.7,24,D
4843,20110902:2359,9.6,24,D
4843,20110903:2359,10.3,24,D
4843,20110904:2359,7.4,24,D
4843,20110905:2359,10.1,24,D
4843,20110906:2359,8.4,24,D
4843,20110907:2359,2.2,24,D
4843,20110908:2359,1.8,24,D
4843,20110909:2359,9.4,24,D
4843,20110910:2359,1.0,24,D
4843,20110911:2359,0.0,24,D
4843,20110912:2359,7.5,24,D
4843,20110913:2359,6.3,24,D
4843,20110914:2359,10.7,24,D
4843,20110915:2359,3.3,24,D
4843,20110916:2359,6.3,24,D
4843,20110917:2359,7.0,24,D
4843,20110918:2359,9.2,24,D
4843,20110919:2359,0.4,24,D
4843,20110920:2359,10.8,24,D
4843,20110921:2359,4.7,24,D
4843,20110922:2359,3.7,24,D
4843,20110923:2359,8.7,24,D
4843,20110924:2359,6.7,24,D
4843,20110925:2259,3.8,24,D
4843,20110926:2259,11.2,24,D
4843,20110927:2259,7.0,24,D
4843,20110928:2259,10.4,24,D
4843,20110929:2259,4.8,24,D
4843,20110930:2259,8.8,24,D
4843,20111001:2259,4.4,24,D
4843,20111002:2259,1.9,24,D
4843,20111003:2259,0.4,24,D
4843,20111004:2259,0.0,24,D
4843,20111005:2259,0.0,24,D
4843,20111006:2259,4.6,24,D
4843,20111007:2259,1.8,24,D
4843,20111008:2259,6.5,24,D
4843,20111009:2259,11.3,24,D
4843,20111010:2259,7.1,24,D
4843,20111011:2259,0.7,24,D
4843,20111012:2259,6.2,24,D
4843,20111013:2259,7.6,24,D
4843,20111014:2259,0.0,24,D
4843,20111015:2259,0.0,24,D
4843,20111016:2259,7.1,24,D
4843,20111017:2259,7.3,24,D
4843,20111018:2259,3.2,24,D
4843,20111019:2259,0.8,24,D
4843,20111020:2259,4.8,24,D
4843,20111021:2259,2.6,24,D
4843,20111022:2259,4.9,24,D
4843,20111023:2259,9.3,24,D
4843,20111024:2259,8.6,24,D
4843,20111025:2259,4.0,24,D
4843,20111026:2259,0.0,24,D
4843,20111027:2259,6.6,24,D
4843,20111028:2259,7.6,24,D
4843,20111029:2259,10.0,24,D
4843,20111030:2259,4.6,24,D
4843,20111031:2259,7.2,24,D
4843,20111101:2259,3.9,24,D
4843,20111102:2259,4.3,24,D
4843,20111103:2259,12.1,24,D
4843,20111104:2259,8.9,24,D
4843,20111105:2259,10.7,24,D
4843,20111106:2259,11.6,24,D
4843,20111107:2259,10.8,24,D
