Grid demand trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20200429171210

Parameters
Date range,01 Jan 2010 - 28 Apr 2020
Region type,Zone
Time scale,Day
Show,Final pricing demand

Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
01/03/2010,01/03/2010,N/A,USI,Upper South Island,17.290
01/03/2010,01/03/2010,N/A,LSI,Lower South Island,23.929
02/03/2010,02/03/2010,N/A,UNI,Upper North Island,30.568
02/03/2010,02/03/2010,N/A,CNI,Central North Island,23.785
02/03/2010,02/03/2010,N/A,LNI,Lower North Island,17.387
02/03/2010,02/03/2010,N/A,USI,Upper South Island,17.613
02/03/2010,02/03/2010,N/A,LSI,Lower South Island,23.980
03/03/2010,03/03/2010,N/A,UNI,Upper North Island,30.204
03/03/2010,03/03/2010,N/A,CNI,Central North Island,23.932
03/03/2010,03/03/2010,N/A,LNI,Lower North Island,18.458
03/03/2010,03/03/2010,N/A,USI,Upper South Island,17.577
03/03/2010,03/03/2010,N/A,LSI,Lower South Island,24.046
04/03/2010,04/03/2010,N/A,UNI,Upper North Island,30.708
04/03/2010,04/03/2010,N/A,CNI,Central North Island,24.169
04/03/2010,04/03/2010,N/A,LNI,Lower North Island,16.794
04/03/2010,04/03/2010,N/A,USI,Upper South Island,17.857
04/03/2010,04/03/2010,N/A,LSI,Lower South Island,23.938
05/03/2010,05/03/2010,N/A,UNI,Upper North Island,29.952
05/03/2010,05/03/2010,N/A,CNI,Central North Island,23.362
05/03/2010,05/03/2010,N/A,LNI,Lower North Island,15.922
05/03/2010,05/03/2010,N/A,USI,Upper South Island,17.463
05/03/2010,05/03/2010,N/A,LSI,Lower South Island,24.343
06/03/2010,06/03/2010,N/A,UNI,Upper North Island,25.666
06/03/2010,06/03/2010,N/A,CNI,Central North Island,22.157
06/03/2010,06/03/2010,N/A,LNI,Lower North Island,15.056
06/03/2010,06/03/2010,N/A,USI,Upper South Island,15.398
06/03/2010,06/03/2010,N/A,LSI,Lower South Island,23.518
07/03/2010,07/03/2010,N/A,UNI,Upper North Island,24.745
07/03/2010,07/03/2010,N/A,CNI,Central North Island,21.387
07/03/2010,07/03/2010,N/A,LNI,Lower North Island,13.407
07/03/2010,07/03/2010,N/A,USI,Upper South Island,14.944
07/03/2010,07/03/2010,N/A,LSI,Lower South Island,22.875
08/03/2010,08/03/2010,N/A,UNI,Upper North Island,29.559
08/03/2010,08/03/2010,N/A,CNI,Central North Island,23.527
08/03/2010,08/03/2010,N/A,LNI,Lower North Island,15.121
08/03/2010,08/03/2010,N/A,USI,Upper South Island,17.301
08/03/2010,08/03/2010,N/A,LSI,Lower South Island,24.249
09/03/2010,09/03/2010,N/A,UNI,Upper North Island,29.930
09/03/2010,09/03/2010,N/A,CNI,Central North Island,23.379
09/03/2010,09/03/2010,N/A,LNI,Lower North Island,16.266
09/03/2010,09/03/2010,N/A,USI,Upper South Island,17.738
09/03/2010,09/03/2010,N/A,LSI,Lower South Island,24.549
10/03/2010,10/03/2010,N/A,UNI,Upper North Island,30.583
10/03/2010,10/03/2010,N/A,CNI,Central North Island,24.197
10/03/2010,10/03/2010,N/A,LNI,Lower North Island,15.943
10/03/2010,10/03/2010,N/A,USI,Upper South Island,17.677
10/03/2010,10/03/2010,N/A,LSI,Lower South Island,23.944
11/03/2010,11/03/2010,N/A,UNI,Upper North Island,30.757
11/03/2010,11/03/2010,N/A,CNI,Central North Island,22.175
11/03/2010,11/03/2010,N/A,LNI,Lower North Island,18.084
11/03/2010,11/03/2010,N/A,USI,Upper South Island,17.726
11/03/2010,11/03/2010,N/A,LSI,Lower South Island,24.240
12/03/2010,12/03/2010,N/A,UNI,Upper North Island,29.781
12/03/2010,12/03/2010,N/A,CNI,Central North Island,23.231
12/03/2010,12/03/2010,N/A,LNI,Lower North Island,16.815
12/03/2010,12/03/2010,N/A,USI,Upper South Island,17.093
12/03/2010,12/03/2010,N/A,LSI,Lower South Island,24.269
13/03/2010,13/03/2010,N/A,UNI,Upper North Island,25.421
13/03/2010,13/03/2010,N/A,CNI,Central North Island,22.237
13/03/2010,13/03/2010,N/A,LNI,Lower North Island,15.644
13/03/2010,13/03/2010,N/A,USI,Upper South Island,14.615
13/03/2010,13/03/2010,N/A,LSI,Lower South Island,23.434
14/03/2010,14/03/2010,N/A,UNI,Upper North Island,24.430
14/03/2010,14/03/2010,N/A,CNI,Central North Island,22.151
14/03/2010,14/03/2010,N/A,LNI,Lower North Island,16.282
14/03/2010,14/03/2010,N/A,USI,Upper South Island,13.582
14/03/2010,14/03/2010,N/A,LSI,Lower South Island,22.785
15/03/2010,15/03/2010,N/A,UNI,Upper North Island,29.790
15/03/2010,15/03/2010,N/A,CNI,Central North Island,23.817
15/03/2010,15/03/2010,N/A,LNI,Lower North Island,17.430
15/03/2010,15/03/2010,N/A,USI,Upper South Island,16.005
15/03/2010,15/03/2010,N/A,LSI,Lower South Island,24.056
16/03/2010,16/03/2010,N/A,UNI,Upper North Island,30.249
16/03/2010,16/03/2010,N/A,CNI,Central North Island,22.938
16/03/2010,16/03/2010,N/A,LNI,Lower North Island,18.338
16/03/2010,16/03/2010,N/A,USI,Upper South Island,16.622
16/03/2010,16/03/2010,N/A,LSI,Lower South Island,24.200
17/03/2010,17/03/2010,N/A,UNI,Upper North Island,29.786
17/03/2010,17/03/2010,N/A,CNI,Central North Island,23.686
17/03/2010,17/03/2010,N/A,LNI,Lower North Island,18.980
17/03/2010,17/03/2010,N/A,USI,Upper South Island,16.812
17/03/2010,17/03/2010,N/A,LSI,Lower South Island,24.930
18/03/2010,18/03/2010,N/A,UNI,Upper North Island,29.984
18/03/2010,18/03/2010,N/A,CNI,Central North Island,23.533
18/03/2010,18/03/2010,N/A,LNI,Lower North Island,18.487
18/03/2010,18/03/2010,N/A,USI,Upper South Island,16.829
18/03/2010,18/03/2010,N/A,LSI,Lower South Island,24.794
19/03/2010,19/03/2010,N/A,UNI,Upper North Island,29.966
19/03/2010,19/03/2010,N/A,CNI,Central North Island,23.733
19/03/2010,19/03/2010,N/A,LNI,Lower North Island,18.076
19/03/2010,19/03/2010,N/A,USI,Upper South Island,16.156
19/03/2010,19/03/2010,N/A,LSI,Lower South Island,23.985
20/03/2010,20/03/2010,N/A,UNI,Upper North Island,25.459
20/03/2010,20/03/2010,N/A,CNI,Central North Island,22.834
20/03/2010,20/03/2010,N/A,LNI,Lower North Island,17.613
20/03/2010,20/03/2010,N/A,USI,Upper South Island,14.311
20/03/2010,20/03/2010,N/A,LSI,Lower South Island,23.172
21/03/2010,21/03/2010,N/A,UNI,Upper North Island,24.745
21/03/2010,21/03/2010,N/A,CNI,Central North Island,22.002
21/03/2010,21/03/2010,N/A,LNI,Lower North Island,16.278
21/03/2010,21/03/2010,N/A,USI,Upper South Island,14.194
21/03/2010,21/03/2010,N/A,LSI,Lower South Island,22.730
22/03/2010,22/03/2010,N/A,UNI,Upper North Island,29.918
22/03/2010,22/03/2010,N/A,CNI,Central North Island,24.451
22/03/2010,22/03/2010,N/A,LNI,Lower North Island,18.588
22/03/2010,22/03/2010,N/A,USI,Upper South Island,16.351
